time,open,high,low,close,volume,normalize,rescale,n_rsi,n_cci,n_wt,n_adx,my_trSmooth,regime_filter,filter_adx,filter_volatility,rational_quadratic,currentWeight,gaussian
2023-07-21T02:00:00Z,29877.49,29925,29846,29901.99,738.5108,0.8831995472973375,332.13322222222223,0.5510594710748613,0.6413492975005735,0.6685703191674409,0.1922490402149629,593.9258896855091,1,0,1,29820.368215489307,408741.5081633748,29814.97547273464
2023-07-21T02:15:00Z,29901.99,29953.01,29885.32,29935.06,294.37802,0.88538061912893,332.5006666666667,0.5705110897411407,0.6812122181215877,0.6580709190000302,0.2111778805342723,602.2233007169568,1,0,1,29830.762967689927,408883.9868430733,29823.677408517535
2023-07-21T02:30:00Z,29935.06,29937.85,29883.02,29883.02,130.45813,0.8819484153757979,331.92244444444447,0.5716132470242287,0.6782610215405958,0.5438021458573395,0.22676111801066023,596.8309706452593,1,0,0,29836.369963356352,408960.8407520659,29828.62975229864
2023-07-21T02:45:00Z,29883.03,29903.21,29880,29903.19,123.02495,0.8832786911194694,332.14655555555555,0.576364506176836,0.6857772403616395,0.5011858530824,0.23872057872878438,560.3578735807325,0,0,0,29843.526281247192,409058.93089456385,29835.071075831627
2023-07-21T03:00:00Z,29903.2,29938.46,29894,29926.01,169.39515,0.884783742803683,332.4001111111111,0.5845727496857672,0.7027532565798978,0.50895057103822,0.2601938684934289,548.7820862226583,0,1,0,29851.694942091362,409170.8970087645,29842.262493975835
2023-07-21T03:15:00Z,29926.01,29942,29890,29891.76,216.22603,0.8825248462136605,332.01955555555554,0.5819957457934689,0.6836104605962138,0.4601075135690591,0.27657799665663335,545.9038776003924,0,1,0,29857.28566832042,409247.5279160048,29847.84092365064
2023-07-21T03:30:00Z,29891.75,29903.75,29877.02,29903.74,76.55225,0.8833149653712802,332.1526666666667,0.5822005990890284,0.6721479381638121,0.447135565256706,0.28163827750034476,518.0434898403528,0,1,0,29862.757693286047,409322.531810021,29853.178171514206
2023-07-21T03:45:00Z,29903.75,29920.52,29890.19,29897.62,66.20438,0.882911331878406,332.08466666666664,0.5805577686922873,0.647158222547306,0.4259005914960008,0.292177389074029,496.5691408563192,0,1,0,29866.812405833647,409378.1089011521,29857.317544800662
2023-07-21T04:00:00Z,29897.62,29904,29875.43,29883.1,96.13251,0.8819536916306067,331.9233333333333,0.5747262624661732,0.58846848528753,0.3860179708848387,0.29056249492508857,475.482226770687,0,1,0,29868.83752372106,409405.86676562676,29859.795322665374
2023-07-21T04:15:00Z,29883.09,29883.1,29859.15,29867.69,174.70951,0.8809373530480593,331.7521111111111,0.5650923378346401,0.509951632661917,0.31903189030335627,0.2777119952731989,451.88400409361543,0,1,0,29869.44691511139,409414.2195651008,29861.344633600667
